,load
0,0.2
1,0.2
2,0.2
3,0.2
4,0.25972222222222224
5,0.6680555555555555
6,1.2555555555555555
7,5.097222222222222
8,0.42986111111111114
9,2.022222222222222
10,1.101388888888889
11,0.41944444444444445
12,0.9888888888888889
13,0.3888888888888889
14,0.3888888888888889
15,0.3888888888888889
16,0.2
17,1.475
18,3.5833333333333335
19,3.5833333333333335
20,5.430555555555555
21,5.465277777777778
22,2.1951388888888888
23,1.9243055555555555
24,1.9048611111111111
25,1.9076388888888889
26,1.9736111111111112
27,2.0166666666666666
28,2.042361111111111
29,2.05
30,2.1729166666666666
31,6.631944444444445
32,0.6715277777777777
33,3.701388888888889
34,3.042361111111111
35,1.83125
36,1.25625
37,0.8409722222222222
38,1.1222222222222222
39,0.95625
40,0.2875
41,1.9868055555555555
42,3.638888888888889
43,3.5833333333333335
44,6.819444444444445
45,6.25
46,2.3090277777777777
47,1.7763888888888888
48,1.617361111111111
49,1.5284722222222222
50,1.4916666666666667
51,1.4583333333333333
52,1.4145833333333333
53,1.3979166666666667
54,1.4548611111111112
55,6.048611111111111
56,0.5444444444444444
57,3.5347222222222223
58,2.529166666666667
59,1.3583333333333334
60,1.1256944444444446
61,0.8625
62,0.7041666666666667
63,0.7916666666666666
64,0.26666666666666666
65,1.6569444444444446
66,3.6041666666666665
67,3.5833333333333335
68,5.083333333333333
69,4.402777777777778
70,1.2638888888888888
71,0.9201388888888888
72,0.8173611111111111
73,0.7694444444444445
74,0.7277777777777777
75,0.7048611111111112
76,0.6930555555555555
77,0.7277777777777777
78,0.8597222222222223
79,4.958333333333333
80,0.42916666666666664
81,3.048611111111111
82,2.423611111111111
83,1.7506944444444446
84,1.4340277777777777
85,1.1944444444444444
86,1.167361111111111
87,1.1701388888888888
88,0.2791666666666667
89,1.6541666666666666
90,3.5972222222222223
91,3.5833333333333335
92,5.527777777777778
93,4.625
94,1.3208333333333333
95,0.8680555555555556
96,0.6986111111111111
97,0.6006944444444444
98,0.5409722222222222
99,0.5041666666666667
100,0.4840277777777778
101,0.47291666666666665
102,0.5847222222222223
103,4.166666666666667
104,0.3770833333333333
105,2.379861111111111
106,2.0548611111111112
107,1.3763888888888889
108,1.1458333333333333
109,0.8541666666666666
110,0.8826388888888889
111,0.8875
112,0.2513888888888889
113,1.4993055555555554
114,3.5833333333333335
115,3.5833333333333335
116,4.298611111111111
117,3.7291666666666665
118,0.7791666666666667
119,0.5854166666666667
120,0.6
121,0.6277777777777778
122,0.6472222222222223
123,0.6520833333333333
124,0.6569444444444444
125,0.6402777777777777
126,0.6430555555555556
127,0.6854166666666667
128,4.340277777777778
129,0.43194444444444446
130,0.3458333333333333
131,0.4041666666666667
132,1.3680555555555556
133,1.3111111111111111
134,2.2805555555555554
135,2.2805555555555554
136,2.2805555555555554
137,4.055555555555555
138,3.2083333333333335
139,3.6805555555555554
140,3.611111111111111
141,2.9166666666666665
142,0.45
143,0.2
144,0.2
145,0.2
146,0.2
147,0.2
148,0.2
149,0.2
150,0.23055555555555557
151,0.5666666666666667
152,3.326388888888889
153,0.3590277777777778
154,0.3458333333333333
155,0.4041666666666667
156,1.6819444444444445
157,1.4590277777777778
158,2.2805555555555554
159,2.2805555555555554
160,2.2805555555555554
161,4.055555555555555
162,3.2083333333333335
163,3.6805555555555554
164,3.611111111111111
165,2.9166666666666665
